ticker,roe,date,pb,marketcap,date,price,size_rank
ACNB,0.04179215648175135,2023-01-17,1.4,324.0,2023-01-17,38.07,2013.0
ACT,0.046804558264918514,2023-01-17,1.0,3942.4,2023-01-17,24.21,790.0
AMCX,0.08776698304494396,2023-01-17,0.8,755.6,2023-01-17,17.58,1645.0
ARL,1.128938169432784,2023-01-17,0.6,317.1,2023-01-17,19.63,2020.0
ARW,0.06411406794837754,2023-01-17,1.3,7008.9,2023-01-17,113.95,525.0
ASYS,0.04420701098041702,2023-01-17,1.3,130.9,2023-01-17,9.35,2283.0
AVT,0.04394742365410851,2023-01-17,1.0,4077.1,2023-01-17,44.55,767.0
AXR,0.04244171735996343,2023-01-17,0.7,66.0,2023-01-17,12.551,2379.0
BCBP,0.04930108932141056,2023-01-17,1.1,307.9,2023-01-17,18.23,2029.0
BCC,0.12441295535089533,2023-01-17,1.4,2741.6,2023-01-17,69.5,991.0
BFH,0.0589010989010989,2023-01-17,0.8,1919.3,2023-01-17,38.5,1169.0
BOTJ,0.04827637945909449,2023-01-17,1.2,60.1,2023-01-17,12.975,2386.0
BRID,0.542752004205546,2023-01-17,1.0,116.2,2023-01-17,12.8,2304.0
BRY,0.2991093514199345,2023-01-17,0.9,681.7,2023-01-17,8.88,1703.0
BSET,0.040117596941217304,2023-01-17,0.9,170.4,2023-01-17,18.61,2221.0
BWFG,0.0406888812997024,2023-01-17,1.0,232.5,2023-01-17,30.15,2131.0
BXC,0.11908540233772315,2023-01-17,1.3,729.7,2023-01-17,80.76,1663.0
BZH,0.10141369212745305,2023-01-17,0.5,444.4,2023-01-17,14.39,1879.0
CCS,0.07404451906656745,2023-01-17,0.9,1821.5,2023-01-17,57.33,1196.0
CGBD,0.0408313932215354,2023-01-17,0.8,760.7,2023-01-17,14.81,1642.0
CHRD,0.7359602235547068,2023-01-17,1.3,5693.0,2023-01-17,136.83,611.0
CION,0.03754040373912717,2023-01-17,0.6,593.1,2023-01-17,10.7,1758.0
CIVI,0.081271494526845,2023-01-17,1.0,5140.7,2023-01-17,60.4,655.0
CLW,0.03781898292638149,2023-01-17,1.0,592.5,2023-01-17,35.35,1759.0
CPSS,0.1281601282962918,2023-01-17,0.9,190.5,2023-01-17,9.32,2192.0
CRWS,0.043707417405836224,2023-01-17,1.2,56.4,2023-01-17,5.575,2396.0
CSPI,0.038838612368024134,2023-01-17,1.3,49.5,2023-01-17,10.86,2411.0
CVLG,0.14180225879207148,2023-01-17,1.3,488.4,2023-01-17,36.19,1845.5
CVLY,0.04081423078239637,2023-01-17,1.4,227.9,2023-01-17,23.85,2139.0
CVR,0.12279981351484848,2023-01-17,0.9,28.2,2023-01-17,29.23,2433.0
CXW,0.049905766505471384,2023-01-17,0.9,1297.0,2023-01-17,11.28,1392.0
DFH,0.11276667102294288,2023-01-17,1.4,961.9,2023-01-17,10.37,1539.0
DIT,0.05315730219529547,2023-01-17,1.2,109.3,2023-01-17,178.85,2314.0
DRS,0.16827503015681544,2023-01-17,1.2,1885.0,2023-01-17,13.0,1176.0
EGLE,0.1008719847941528,2023-01-17,0.9,721.5,2023-01-17,52.74,1671.0
EML,0.040388037734058524,2023-01-17,1.2,144.8,2023-01-17,23.3,2266.0
ENVA,0.04666445864517125,2023-01-17,1.1,1279.5,2023-01-17,40.67,1397.0
ESNT,0.04167865365010961,2023-01-17,1.0,4312.6,2023-01-17,40.04,737.0
ESTE,0.16545347990163053,2023-01-17,1.3,1945.7,2023-01-17,13.93,1157.0
FBIZ,0.04331734174125631,2023-01-17,1.2,298.9,2023-01-17,35.455,2041.0
FET,0.053418013707068154,2023-01-17,0.6,171.7,2023-01-17,29.95,2216.0
FNCB,0.04330263241761744,2023-01-17,1.4,161.4,2023-01-17,8.2,2236.0
FRAF,0.038022282979055314,2023-01-17,1.4,150.3,2023-01-17,34.25,2258.0
FSBW,0.03798940895881711,2023-01-17,1.2,258.9,2023-01-17,33.61,2086.0
FUNC,0.05219275802907624,2023-01-17,1.0,129.9,2023-01-17,19.51,2287.0
FXNC,0.044400139560384785,2023-01-17,1.1,108.8,2023-01-17,17.37,2316.0
GHI,0.057171104529817704,2023-01-17,1.4,424.7,2023-01-17,18.89,1900.0
