,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,date,0.1,0.2,0.3,0
0,AADI,,,,,2023-01-24,,,-11.0,
1,ABG,,,,,2023-01-24,,,3.0,
2,ACCD,,,,,2023-01-24,,,-15.0,
3,ACNB,,,,,2023-01-24,,,17.0,
4,ACT,,,,,2023-01-24,,,26.0,
5,ADPT,,,,,2023-01-24,,,-16.0,
6,AFCG,,,,,2023-01-24,,,38.0,
7,AFRM,,,,,2023-01-24,,,-10.0,
8,AIP,,,,,2023-01-24,,,-27.0,
9,AIRS,,,,,2023-01-24,,,-27.0,
10,ALBO,,,,,2023-01-24,,,-3.0,
11,ALEC,,,,,2023-01-24,,,-18.0,
12,ALGT,,,,,2023-01-24,,,-1.0,
13,ALVR,,,,,2023-01-24,,,-28.0,
14,AMAL,,,,,2023-01-24,,,27.0,
15,AMKR,,,,,2023-01-24,,,21.0,
16,AMRK,,,,,2023-01-24,,,16.0,
17,AMSC,,,,,2023-01-24,,,-28.0,
18,AMWD,,,,,2023-01-24,,,11.0,
19,ANNX,,,,,2023-01-24,,,-22.0,
20,ANVS,,,,,2023-01-24,,,-12.0,
21,AOMR,,,,,2023-01-24,,,-19.0,
22,APEN,,,,,2023-01-24,,,-15.0,
23,APLS,,,,,2023-01-24,,,-2.0,
24,APOG,,,,,2023-01-24,,,14.0,
25,APP,,,,,2023-01-24,,,-12.0,
26,APPN,,,,,2023-01-24,,,-3.0,
27,ARCT,,,,,2023-01-24,,,-7.0,
28,AROW,,,,,2023-01-24,,,18.0,
29,ARQT,,,,,2023-01-24,,,-9.0,
30,ARW,,,,,2023-01-24,,,5.0,
31,ARWR,,,,,2023-01-24,,,-4.0,
32,ASAN,,,,,2023-01-24,,,-10.0,
33,ASPN,,,,,2023-01-24,,,-14.0,
34,ATEC,,,,,2023-01-24,,,-11.0,
35,ATLO,,,,,2023-01-24,,,26.0,
36,ATOM,,,,,2023-01-24,,,-23.0,
37,ATSG,,,,,2023-01-24,,,22.0,
38,ATXS,,,,,2023-01-24,,,-10.0,
39,AUPH,,,,,2023-01-24,,,-18.0,
40,AVT,,,,,2023-01-24,,,14.0,
41,AXL,,,,,2023-01-24,,,77.0,
42,AXSM,,,,,2023-01-24,,,-2.0,
43,AYX,,,,,2023-01-24,,,-2.0,
44,BANR,,,,,2023-01-24,,,10.0,
45,BCBP,,,,,2023-01-24,,,34.0,
46,BCC,,,,,2023-01-24,,,9.0,
47,BECN,,,,,2023-01-24,,,11.0,
48,BGS,,,,,2023-01-24,,,-10.0,
49,BGSF,,,,,2023-01-24,,,42.0,
50,BHB,,,,,2023-01-24,,,21.0,
51,BIG,,,,,2023-01-24,,,-9.0,
52,BIGC,,,,,2023-01-24,,,-12.0,
53,BL,,,,,2023-01-24,,,-2.0,
54,BLZE,,,,,2023-01-24,,,-20.0,
55,BPMC,,,,,2023-01-24,,,-3.0,
56,BRY,,,,,2023-01-24,,,70.0,
57,BRZE,,,,,2023-01-24,,,-4.0,
58,BSET,,,,,2023-01-24,,,34.0,
59,BSVN,,,,,2023-01-24,,,21.0,
60,BTAI,,,,,2023-01-24,,,-4.0,
61,BWFG,,,,,2023-01-24,,,21.0,
62,BXC,,,,,2023-01-24,,,7.0,
63,BZH,,,,,2023-01-24,,,43.0,
64,CAL,,,,,2023-01-24,,,27.0,
65,CATC,,,,,2023-01-24,,,8.0,
66,CBAY,,,,,2023-01-24,,,-19.0,
67,CBNK,,,,,2023-01-24,,,27.0,
68,CCCC,,,,,2023-01-24,,,-18.0,
69,CCS,,,,,2023-01-24,,,10.0,
70,CDLX,,,,,2023-01-24,,,-26.0,
71,CDNA,,,,,2023-01-24,,,-10.0,
72,CDXS,,,,,2023-01-24,,,-23.0,
73,CFLT,,,,,2023-01-24,,,-6.0,
74,CGBD,,,,,2023-01-24,,,40.0,
75,CHCO,,,,,2023-01-24,,,6.0,
76,CHMG,,,,,2023-01-24,,,13.0,
77,CHS,,,,,2023-01-24,,,123.0,
78,CION,,,,,2023-01-24,,,59.0,
79,CIVI,,,,,2023-01-24,,,9.0,
80,CKPT,,,,,2023-01-24,,,-28.0,
81,CLW,,,,,2023-01-24,,,18.0,
82,CMC,,,,,2023-01-24,,,12.0,
83,CODA,,,,,2023-01-24,,,79.0,
84,CONN,,,,,2023-01-24,,,-15.0,
85,COUP,,,,,2023-01-24,,,-1.0,
86,CPS,,,,,2023-01-24,,,-12.0,
87,CRNC,,,,,2023-01-24,,,-6.0,
88,CTBI,,,,,2023-01-24,,,15.0,
89,CULP,,,,,2023-01-24,,,-29.0,
90,CUTR,,,,,2023-01-24,,,-4.0,
91,CVCO,,,,,2023-01-24,,,2.0,
92,CVCY,,,,,2023-01-24,,,29.0,
93,CVLG,,,,,2023-01-24,,,16.0,
94,CVLY,,,,,2023-01-24,,,26.0,
95,CXW,,,,,2023-01-24,,,60.0,
96,DDD,,,,,2023-01-24,,,-15.0,
97,DLA,,,,,2023-01-24,,,-12.0,
98,DMRC,,,,,2023-01-24,,,-7.0,
99,DNOW,,,,,2023-01-24,,,48.0,
100,DSEY,,,,,2023-01-24,,,-26.0,
101,DXPE,,,,,2023-01-24,,,22.0,
102,DYN,,,,,2023-01-24,,,-10.0,
103,EAF,,,,,2023-01-24,,,-25.0,
104,EB,,,,,2023-01-24,,,-18.0,
105,EDIT,,,,,2023-01-24,,,-17.0,
106,EGLE,,,,,2023-01-24,,,12.0,
107,EHTH,,,,,2023-01-24,,,-27.0,
108,ENVA,,,,,2023-01-24,,,15.0,
109,EOLS,,,,,2023-01-24,,,-14.0,
110,EQBK,,,,,2023-01-24,,,20.0,
111,ESNT,,,,,2023-01-24,,,15.0,
112,ESQ,,,,,2023-01-24,,,15.0,
113,ESTA,,,,,2023-01-24,,,-2.0,
114,ESTC,,,,,2023-01-24,,,-2.0,
115,ETD,,,,,2023-01-24,,,22.0,
116,EVBN,,,,,2023-01-24,,,16.0,
117,FATE,,,,,2023-01-24,,,-27.0,
118,FBIZ,,,,,2023-01-24,,,19.0,
119,FBNC,,,,,2023-01-24,,,15.0,
120,FBP,,,,,2023-01-24,,,48.0,
121,FCBC,,,,,2023-01-24,,,19.0,
122,FDBC,,,,,2023-01-24,,,13.0,
123,FENC,,,,,2023-01-24,,,-16.0,
124,FET,,,,,2023-01-24,,,19.0,
125,FF,,,,,2023-01-24,,,68.0,
126,FFIC,,,,,2023-01-24,,,31.0,
127,FGEN,,,,,2023-01-24,,,-7.0,
128,FHI,,,,,2023-01-24,,,17.0,
129,FHTX,,,,,2023-01-24,,,-17.0,
130,FIGS,,,,,2023-01-24,,,-18.0,
131,FIVN,,,,,2023-01-24,,,-2.0,
132,FLWS,,,,,2023-01-24,,,-15.0,
133,FMNB,,,,,2023-01-24,,,45.0,
134,FSBW,,,,,2023-01-24,,,18.0,
135,FSLY,,,,,2023-01-24,,,-14.0,
136,FSTX,,,,,2023-01-24,,,-25.0,
137,FTDR,,,,,2023-01-24,,,-5.0,
138,FTHM,,,,,2023-01-24,,,-23.0,
139,FVCB,,,,,2023-01-24,,,34.0,
140,GABC,,,,,2023-01-24,,,17.0,
141,GDRX,,,,,2023-01-24,,,-27.0,
142,GES,,,,,2023-01-24,,,28.0,
143,GFF,,,,,2023-01-24,,,-3.0,
144,GH,,,,,2023-01-24,,,-4.0,
145,GHLD,,,,,2023-01-24,,,57.0,
146,GMS,,,,,2023-01-24,,,11.0,
147,GNK,,,,,2023-01-24,,,38.0,
148,GNRC,,,,,2023-01-24,,,-1.0,
149,GNTY,,,,,2023-01-24,,,18.0,
